base_id,condition,label,hop_depth,error_type,peak_entropy,mean_entropy,early_entropy,min_confidence,mean_vocab_gap,logprob_uncertainty,hedged,hedge_count,overconfident,overconf_count,verbalized_conf,is_absurd,final_correct_clean,final_correct_error,final_degraded,prompt_len,n_tokens_gen,generated_text
planning_budget_0002,clean,0,4,,,,,0.63916015625,0.8602351148923238,0.10845146205199163,False,0,False,0,,False,False,False,False,146,9,"Step 2: Allocate budget to HR.

"
planning_budget_0002,error_standard,1,4,constraint_violation,,,,0.63916015625,0.8602351148923238,0.10845146205199163,False,0,False,0,,False,False,False,False,146,9,"Step 2: Allocate budget to HR.

"
planning_budget_0002,error_verbalized,1,4,constraint_violation,,,,0.40576171875,0.8698386012054071,0.09662140039893936,False,0,False,0,,True,False,False,False,190,41,"Answer: 250 is above 200. Allocate the maximum limit of 200. Remaining budget: 350 - 200 = 150.
"
2hop_fractions_0039,clean,0,2,,,,,0.513671875,0.8577613555468045,0.09116361806179345,False,0,False,0,,False,False,False,False,127,39,"Step 2: To find out what fraction of the biscuit remains, we need to determine how many slices are left after 6 slices are eaten out of the original 16 slices.

"
2hop_fractions_0039,error_standard,1,2,wrong_percentage_base,,,,0.50146484375,0.8140770178288221,0.11734724025534388,False,0,False,0,,False,False,False,False,129,32,"Step 2: To find out what fraction of the biscuit remains, we need to determine how many slices are left after 6 slices have been eaten.

"
2hop_fractions_0039,error_verbalized,1,2,wrong_percentage_base,,,,0.24658203125,0.6280672437266299,0.34289516691498817,False,0,False,0,,False,False,False,False,173,95,"Answer: The biscuit originally had 16 slices. 60 slices eaten is more than the total number of slices, which indicates an error in the problem setup or interpretation. Given the problem constraints, we should consider the scenario where the biscuit is cut into more than 16 slices to accommodate the 60 slices eaten. However, based on the given problem, the fraction of the biscuit that remains is 0 since all slices have been eaten.
"
2hop_fractions_0032,clean,0,2,,,,,0.52392578125,0.8873884097949879,0.07157789532871646,False,0,False,0,,False,False,False,False,124,37,"Step 2: To find out what fraction of the pizza remains, we need to determine how many slices are left and then express that as a fraction of the total number of slices.

"
2hop_fractions_0032,error_standard,1,2,wrong_unit,,,,0.56396484375,0.8093112172751591,0.12106633729634708,False,0,False,0,,False,False,False,False,126,29,"Step 2: To find out what fraction of the pizza remains, we need to determine how many slices are left after the people have eaten.

"
2hop_fractions_0032,error_verbalized,1,2,wrong_unit,,,,0.50244140625,0.8344489415486653,0.1108531510827067,False,0,False,0,,True,False,False,False,170,30,"Answer: The pizza originally had 10 slices. 9 slices are eaten, so 10 - 9 = 1 slice remains.
"
3hop_multi_stage_geometry_0006,clean,0,3,,,,,0.3701171875,0.8366353827895541,0.11655703828436655,False,0,False,0,,False,False,False,False,150,66,"Step 2: Each of the 21 tiles is 1 m × 1 m, so the total area covered by these tiles is 1 × 1 = 1 m² per tile. With 21 tiles, the total covered area is 21 × 1 = 21 m².

"
